precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
250.000 €;;/comprar/piso-casco_antiguo_san_julian41003-44250439074_527644/;San Julián (Distrito Casco Antiguo. Sevilla Capital);3 habs.;88 m²;¡La casa agency feria presenta esta vivienda de 88 metros cuadrados en el solicitado barrio de san julián que espera por ti! Ubica...;37.3976166;-5.9843474;1 baño;1ª planta;sevilla
895.000 €;;/comprar/casa-alfalfa41001-40092674586_527420/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);2 habs.;151 m²;Este inmueble en venta en exclusiva se trata de una casa reformada recientemente que consta de 3 plantas y una terraza amplia y co...;37.389596;-5.9993289;3 baños;;sevilla
240.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43424044273_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);3 habs.;96 m²;Vivienda de obra nueva en una excelente ubicación del cerro del águila, sevilla! Con una superficie construida de 96,45 metros cua...;37.3741;-5.96087;2 baños;Bajo;sevilla
69.000 €;;/comprar/piso-la_oliva_poligono_sur41013-44183589289_521538/;La Oliva-Polígono Sur (Distrito Sur. Sevilla Capital);3 habs.;77 m²;"""fantástico piso en las letanias. Consta de salón-comedor, cocina totalmente amueblada, 3 dormitorios, 1 baños terraza.

Si desea ...";37.3607542;-5.9633972;1 baño;Entresuelo;sevilla
161.392 €;Piso en Avenida Rafael Escuredo Rodríguez,  S/N;/comprar/piso-montequinto_el_colmenar41704-4470942862_109700/;Montequinto-El Colmenar (Dos Hermanas);3 habs.;85 m²;Portal 1, 1º D. Piso en un edificio de obra nueva de 85 m2 de superficie construida y ubicado en la zona de Dos Hermanas, enclavado en planta 1. Está distribuido en 3 habitaciones, 2 baños completos y terraza. Incluye extras como garaje y trastero.;37,3264197;-5,9315799;2 baños;1ª planta;sevilla
131.050 €;;/comprar/apartamento-parque_alcosa_jardines_del_eden41019-44245314300_100500/;Parque Alcosa-Jardines del Edén (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;94 m²;"Espléndido piso en el parque alcosa.
¿Le gustaría una vivienda luminosa, con un salón amplio, tres habitaciones y dos baños?
Ésta ...";37.4081492;-5.9192529;;Bajo;sevilla
211.000 €;Piso en Avenida de Manuel Clavero Arévalo,  s/n;/comprar/piso-montequinto_el_colmenar41089-4440565549_109700/;Montequinto-El Colmenar (Dos Hermanas);3 habs.;112 m²;Portal 3, 1º d. Piso en una finca de obra nueva de 112 m² de superficie construida y emplazado en la zona de dos hermanas, posicio...;37.3183;-5.93688;2 baños;1ª planta;sevilla
134.100 €;;/comprar/casa_rustica-el_cuervo_de_sevilla_centro_urbano-45048795189_100200/;El Cuervo de Sevilla;5 habs.;204 m²;"Zona el cubo (el cuervo).

Finca rústica de 9.392 m² útiles que constan de:
· nave diáfana con; salón, comedor, cocina, habitación...";36.8593306;-6.0286063;;;sevilla
154.900 €;;/comprar/casa-nervion_ciudad_jardin41005-39192082383_525238/;Ciudad Jardín (Distrito Nervión. Sevilla Capital);3 habs.;125 m²;Alva ross inmobiliaria real estate les ofrece esta fantástica casa (antes local)urbana en un sitio muy céntrico de marques pickman...;37.3810791;-5.9616316;1 baño;;sevilla
120.000 €;Casa adosada en calle de Santa Brigida, 8;/comprar/casa_adosada-camas_centro_urbano-35009590966_100500/;Camas;3 habs.;78 m²;"Un lugar incomparable parar vivir.

Casa en venta en el centro de camas de una sola planta para reformar.

Imagínate vivir en la c...";37.402;-6.03439;1 baño;;sevilla
87.000 €;;/comprar/piso-san_pablo_santa_justa_san_pablo41007-45854427574_100200/;San Pablo (Distrito San Pablo-Santa Justa. Sevilla Capital);2 habs.;66 m²;Piso de dos dormitorios (anteriormente tres), baño, cocina y salón. Cuarta planta sin ascensor. Amueblado y con alguna reforma. Co...;37.3862879;-5.990607;;;sevilla
199.500 €;Chalet en Carretera de Torrepalma, nº 00;/comprar/chalet-carmona_centro_urbano-39202326115_500593/;Carmona;3 habs.;200 m²;Gran oportunidad de chalet en torrepalma en parcela de 1350 m², a 20 minutos de sevilla capital. Cuenta con una sola planta distri...;37.407694174992805;-5.818145550115428;2 baños;;sevilla
165.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43362976275_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;59 m²;"¡Descubre tu nuevo hogar de obra nueva!
Esta maravillosa vivienda en planta primera con ascensor te ofrece dos opciones de distrib...";37.3741;-5.96087;1 baño;1ª planta;sevilla
263.000 €;;/comprar/chalet-espartinas_centro_urbano-37518376966_103800/;Espartinas;4 habs.;170 m²;Estupenda casa pareada en espartinas, parcela de 255 metrios aproximadamente, consta de vivienda de 170 metros, con 4 dormitorios,...;37.383877;-6.1123768;;;sevilla
105.000 €;;/comprar/casa-brenes_centro_urbano-43420246111_100500/;Brenes;4 habs.;110 m²;"Oportunidad, preciosa y fantástica casa en brenes!

Presentamos esta maravillosa casa de doble planta y azotea en el centro de bre...";37.5523999;-5.8738422;3 baños;;sevilla
85.000 €;;/comprar/casa_adosada-el_castillo_de_las_guardas_centro_urbano-45013470590_100500/;El Castillo de Las Guardas;3 habs.;100 m²;Si estás buscando levantarte de la cama y contemplar el campo, respirando el aire puro de la mañana, no busques más, porque esta e...;37.685029713;-6.400435017;2 baños;;sevilla
167.000 €;;/comprar/piso-bellavista_la_palmera_bellavista41012-27565991118_525238/;Bellavista (Distrito Bellavista-La Palmera. Sevilla Capital);1 hab.;70 m²;Piso con muy buena ubicación, reformado y muy cuidado con una habitación cocina muy amplia y porche delantero;37.3467912;-5.9817784;1 baño;Bajo;sevilla
175.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43380143096_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;68 m²;Vivienda de obra nueva en primera planta con ascensor, que consta de dos habitaciones, un baño y un amplio salón comedor cocina te...;37.3741;-5.96087;1 baño;1ª planta;sevilla
347.200 €;;/comprar/casa-bellavista_la_palmera_bellavista41014-45075130822_109700/;Bellavista (Distrito Bellavista-La Palmera. Sevilla Capital);4 habs.;172 m²;Casa de obra nueva, de 172 m² de superficie construida, y ubicada en la zona de sevilla capital.  Está distribuida en 4 habitacion...;37.323505;-5.9702725;3 baños;;sevilla
216.777 €;;/comprar/apartamento-cerro_amate_el_cerro41006-43388209303_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;98 m²;"Obra nueva. Próxima entrega. 
Bienvenido a tu nuevo hogar en nuestro exclusivo edificio residencial!
Su ubicación privilegiada, en...";37.3692185;-5.9531922;1 baño;Bajo;sevilla
292.000 €;Casa adosada en calle de Nuestra Señora de los Dolores,  s/n;/comprar/casa_adosada-bormujos_centro-4028317850_109700/;Centro (Bormujos);3 habs.;135 m²;Vvda. 14. Casa adosada de obra nueva, de 135 m² de superficie construida, y situada en la zona de bormujos.  Está estructurada en ...;37.3683597;-6.0731894;3 baños;;sevilla
295.000 €;;/comprar/piso-parlamento41009-42539110741_101800/;Parlamento (Distrito Macarena. Sevilla Capital);4 habs.;128 m²;Piso en venta separado en dos pisos independientes, uno con 3 dormitorios, cocina office con salón, 1 baño completo , reformado , ...;37.4034366;-5.9920714;2 baños;2ª planta;sevilla
180.000 €;;/comprar/casa-amate-40876394943_525238/;Amate (Distrito Cerro Amate. Sevilla Capital);3 habs.;200 m²;Alvaross inmobiliaria les ofrece esta fantástica casa en una zona super tranquila y muy bien ubicada de sevilla y rodeada de todo ...;37.3720305;-5.9417914;2 baños;;sevilla
950.000 €;;/comprar/chalet-heliopolis41012-38371864826_101800/;Heliópolis (Distrito Bellavista-La Palmera. Sevilla Capital);10 habs.;445 m²;"En el barrio de heliópolis. 
Se vende chalet de grandes dimensiones con posibilidad de división horizontal para tres viviendas.
Ti...";37.3542665;-5.9849496;4 baños;;sevilla
160.000 €;;/comprar/piso-avenida_de_las_ciencias_emilio_lemos41020-42527688697_525238/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;90 m²;"Alvaross real estate ofrece piso en la misma calle emilio lemos, sevilla este de vpo regimen general.

Amplia vivienda de 90 mts ...";37.4017482;-5.9249312;2 baños;2ª planta;sevilla
55.000 €;;/comprar/piso-san_juan_de_aznalfarache_barrio_alto-42580717913_520505/;Barrio Alto (San Juan de Aznalfarache);3 habs.;67 m²;"¡Increíble oportunidad! 

Piso en venta en una ubicación privilegiada, entre la plaza de la constitución y la plaza del auditorio....";37.3573146;-6.0347333;1 baño;4ª planta;sevilla
98.500 €;;/comprar/casa_pareada-pilas_centro_urbano-43339757093_100500/;Pilas;3 habs.;99 m²;"¡Obras avanzadas! Promoción de viviendas pareadas de 3 dormitorios con dos patios junto a la zona de mayor expansión de pilas.

¡D...";37.3078231;-6.3102088;2 baños;;sevilla
350.000 €;;/comprar/casa-montequinto_el_colmenar41089-40846452782_101800/;Montequinto-El Colmenar (Dos Hermanas);4 habs.;210 m²;Bonito chalet en la zona de condequinto, con muy buena orientación, de dos plantas, con zona de plaza de aparcamiento con capacida...;37.3486359;-5.927483;3 baños;;sevilla
