precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
145.000€;Piso, Granada;https://rd.clk.thribee.com/id.1V1HpHeun18/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.11/;Albaicín, Granada, Provincia de Granada;1  habitaciones;1  baños;44  m²;Viviendas de 1 dormitorio en venta situados en Granada. Las viviendas construidas en 2009 cuentan con superficies mínimas de 38 m² y se...;Hace 5 días;Idealista;Granada
29.891€;Piso, Polígono Cartuja, Granada;https://rd.clk.thribee.com/id.1zf1S1U111v1FR/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.12/;Granada, Provincia de Granada;3  habitaciones;1  baños;71  m²;Solo para inversores. Oportunidad para inversores importante: esta propiedad es solo para inversores, ya que no tenemos posesión del inmueble y p...;Hace 2 días;Idealista;Granada
140.000€;Piso, Granada;https://rd.clk.thribee.com/id.C32198T1sr/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.13/;Albaicín, Granada, Provincia de Granada;1  habitaciones;1  baños;44  m²;Viviendas de 1 dormitorio en venta situados en Granada. Las viviendas construidas en 2009 cuentan con superficies mínimas de 38 m² y se...;Hace 5 días;Idealista;Granada
95.000€;Piso, Granada;https://rd.clk.thribee.com/id.Wqi1oN15Aq/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.14/;Albaicín, Granada, Provincia de Granada;1  habitaciones;1  baños;33  m²;...de Granada. Un dormitorio, baño y salón con cocina integrada, con unas preciosas vistas y en uno de los lugares con más encanto de la ciudad...;Hace 5 días;Idealista;Granada
135.000€;Piso, Granada;https://rd.clk.thribee.com/id.r151F11j1A1iB/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.15/;Albaicín, Granada, Provincia de Granada;1  habitaciones;1  baños;40  m²;Viviendas de 1 dormitorio en venta situados en Granada. Las viviendas construidas en 2009 cuentan con superficies mínimas de 38 m² y se...;Hace 5 días;Idealista;Granada
79.900€;Piso, Granada;https://rd.clk.thribee.com/id.d1wA1X1itc1u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.16/;Granada, Provincia de Granada;2  habitaciones;1  baños;80  m²;Fantástica vivienda de protección oficial en residencial privado con piscina junto al centro comercial Granaita. Se trata de un inmueble de 70 m2...;Hace 5 días;Idealista;Granada
122.000€;Piso, Granada;https://rd.clk.thribee.com/id.A11H1j1XV1K-/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.17/;Granada, Provincia de Granada;4  habitaciones;2  baños;95  m²;Preguntar en GranaCasa por la referencia 52993. Se vende piso de cuatro dormitorios, dos baños, salón/comedor, cocina y lavadero repartidos en...;Hace 5 días;Idealista;Granada
90.000€;Piso, Granada;https://rd.clk.thribee.com/id.pL1U1Ya1v1UW/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.18/;Chana, Granada, Provincia de Granada;3  habitaciones;1  baños;65  m²;Coqueto piso en el barrio de la Chana junto a la plaza de la Sagrada Familia. En primera planta piso de tres habitaciones, salón con balcón...;Hace 5 días;Idealista;Granada
95.000€;Piso, Granada;https://rd.clk.thribee.com/id.thq1mWE1s2/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.19/;Chana, Granada, Provincia de Granada;2  habitaciones;1  baños;58  m²;Se vende acogedor piso en el barrio de la Chana, rodeado de comercios, servicios y líneas de bus y colegios. El piso consta de 2 dormitorios...;Hace 5 días;Idealista;Granada
65.999€;Piso, Granada;https://rd.clk.thribee.com/id.131S171C14_Di/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.20/;Chana, Granada, Provincia de Granada;2  habitaciones;1  baños;46  m²;¡Atención inversores! Este piso en venta ubicado en la zona de La Chana es una oportunidad única para aquellos que buscan alta rentabilidad...;Hace 5 días;Idealista;Granada
