precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
1.400 €/mes;Piso en calle López de Gomara;/alquilar/piso-barrio_leon_el_tardon_blas_infante41010-45045217883_995624/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);4 habs.;85 m²;Genial piso para estudiantes y trabajadores, todos los servicios alrededor, metro, bus, alimentación, ocio etc. Gastos aparte de l...;37.3795751;-6.0086266;1 baño;4ª planta;sevilla
1.700 €/mes;Chalet en Espartinas;/alquilar/chalet-espartinas_centro_urbano-39229104872_103800/;Espartinas;7 habs.;400 m²;"¡¡¡ Gran chalet con piscina en espartinas !!!

Disponibilidad a partir del 16 de agosto
Gran chalet de 400 m² en parcela de 976 m²...";37.3920824;-6.1340256;;;sevilla
600 €/mes;Piso en calle de Ilipa Magna;/alquilar/piso-alcala_del_rio_centro_urbano-45013644597_523453/;Alcalá del Río;2 habs.;70 m²;"Kámaraljarafe, la agencia que te acompaña a tu nuevo hogar.
Descubre este fantástico piso en alcalá del río, de 68 metros útiles, ...";37.5178606;-5.9791237;1 baño;Bajo;sevilla
1.595 €/mes;Apartamento en Alfalfa;/alquilar/apartamento-alfalfa41004-45090152449_101800/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);2 habs.;108 m²;La vivienda se encuentra en un perfecto estado con 108 m² construidos distribuidos en dos habitaciones, una de ellas como principa...;37.3922334;-5.9923527;2 baños;;sevilla
3.850 €/mes;Casa en El Zaudín-Club de Golf;/alquilar/casa-el_zaudin_club_de_golf-38424203223_101800/;El Zaudín-Club de Golf (Bormujos);5 habs.;425 m²;"Esta excepcional casa con piscina que se alquila ""amueblada"" se encuentra en una exclusiva urbanización dentro del club de golf za...";37.3619871;-6.0639972;4 baños;;sevilla
1.200 €/mes;Piso en calle Esperanza de Triana;/alquilar/piso-zona_esperanza_de_triana41010-45074721869_995624/;Zona Esperanza de Triana (Distrito Triana. Sevilla Capital);3 habs.;85 m²;Estudiantes. Fantástico piso en una de las principales calle del barrio de triana, metro, bus, supermercados, ocio, centro de salu...;37.3807679;-6.0058172;1 baño;8ª planta;sevilla
900 €/mes;Piso en calle de Ceres;/alquilar/piso-encarnacion_regina41002-45095210180_995624/;Encarnación-Regina (Distrito Casco Antiguo. Sevilla Capital);2 habs.;72 m²;Coqueto apartamento ideal para parejas, en el mismo centro de sevilla, prácticamente en la plaza gavidia, precio algo negociable s...;37.3946079;-5.99751;1 baño;1ª planta;sevilla
1.200 €/mes;Piso en calle Virgen de la Antigua;/alquilar/piso-los_remedios_barrio41011-45021390938_995624/;Los Remedios (Distrito Los Remedios. Sevilla Capital);3 habs.;148 m²;Gran piso con muchos metros y espacio. Se entrega en perfecto estado con uno de los baños nuevo, el cual esta en una habitación, l...;37.3732409;-6.0019678;2 baños;Entresuelo;sevilla
900 €/mes;Piso en calle López de Gomara;/alquilar/piso-zona_esperanza_de_triana41010-45068673649_995624/;Zona Esperanza de Triana (Distrito Triana. Sevilla Capital);2 habs.;75 m²;Estudiantes o trabajadores. Piso en una zona de triana con todos los servicios alrededor, metro bus, alimentación, ocio, etc. Solo...;37.3774641;-6.0064878;1 baño;3ª planta;sevilla
1.500 €/mes;Piso en Avenida Presidente Adolfo Suárez;/alquilar/piso-los_remedios_barrio41011-45093236190_106000/;Los Remedios (Distrito Los Remedios. Sevilla Capital);3 habs.;91 m²;"Se alquila piso, en los remedios, sevilla!!!

Se alquila piso exterior con amplitud de vistas al rio guadalquivir!!!

Amplio y lum...";37.3717119;-5.9964118;2 baños;9ª planta;sevilla
6.500 €/mes;Chalet en Avenida de las Begonias;/alquilar/chalet-el_zaudin_club_de_golf-42513363797_106000/;El Zaudín-Club de Golf (Bormujos);7 habs.;850 m²;"Chalet en alquiler
Soberbio chalet en urbanizacion el zaudin

   Ref. 23839, soberbio chalet en urbanizacion el zaudin, urbanizaci...";37.3614436;-6.0656294;7 baños;;sevilla
850 €/mes;Piso en calle Generador;/alquilar/piso-santa_aurelia41006-45098373128_525910/;Santa Aurelia (Distrito Cerro Amate. Sevilla Capital);3 habs.;120 m²;"Mangano - morisancon grupo inmobiliario asesoria legal.

Solo se alquila a chicas para entrar en septiembre se puede visitar ya.

...";37.383352702;-5.952039219;2 baños;4ª planta;sevilla
1.100 €/mes;Piso en calle Palma del Río;/alquilar/piso-pio_xii41008-45080402250_995624/;Pío XII (Distrito Macarena. Sevilla Capital);3 habs.;110 m²;Estudiantes. Magnifico piso junto a cruz roja y capuchinos, al lado de facultades y centro ciudad, el piso es muy confortable y bi...;37.4030819;-5.9791255;2 baños;2ª planta;sevilla
750 €/mes;Piso en Plaza de los Duendes de Sevilla;/alquilar/piso-tiro_de_linea-36667132261_100200/;Tiro de Línea (Distrito Sur. Sevilla Capital);3 habs.;61 m²;"Alquiler estudiantes.
3 dormitorios, salón comedor con balcon, cocina y baño.
Cocina totalmente equipada, baño completo y salón co...";37.3711143;-5.9728129;;3ª planta;sevilla
760 €/mes;Piso en Avenida de Adolfo Suárez;/alquilar/piso-arco_norte_la_alqueria41704-45010053642_997202/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3 habs.;90 m²;Amplio piso de 3 dormitorios en zona inmejorable. Se alquila con 2 plazas de garaje. El piso cuenta con cocina completamente equip...;37.295429254;-5.937231354;2 baños;Principal;sevilla
2.500 €/mes;Chalet en Valencina de La Concepción;/alquilar/chalet-valencina_de_la_concepcion_centro_urbano-39224662415_103800/;Valencina de la Concepción;4 habs.;215 m²;"Estupendo chalet independiente en urbanización cerrada con control de acceso y zonas comunes. Placas solares recién puestas 

¿Est...";37.4024264;-6.083775;4 baños;;sevilla
930 €/mes;Piso en Avenida de Alvar Núñez;/alquilar/piso-barrio_leon_el_tardon_blas_infante41010-45008537861_995624/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);3 habs.;90 m²;Estudiantes o trabajadores. Amplio piso en una zona muy tranquila de triana, con todos los servicios alrededor y parada bus al cen...;37.3776278;-6.0120281;2 baños;1ª planta;sevilla
2.250 €/mes;Chalet en Camino de Olivares;/alquilar/chalet-sanlucar_la_mayor_centro_urbano-45041594287_100500/;Sanlúcar la Mayor;4 habs.;361 m²;Se vende en sanlúcar la mayor zona carretera de olivares,  chalet independiente único en la zona por precio, m², características  ...;37.390555461;-6.20084545;2 baños;;sevilla
1.100 €/mes;Piso en Avenida de José Laguillo;/alquilar/piso-san_jose_san_carlos_fontanal41003-45035644355_995624/;San José-San Carlos-Fontanal (Distrito San Pablo-Santa Justa. Sevilla Capital);3 habs.;90 m²;Precioso piso en una estupenda zona de  sevilla, céntrica y con todos los servicios alrededor, incluyendo estación de santa justa...;37.3920832;-5.9792512;2 baños;3ª planta;sevilla
1.300 €/mes;Piso en Ciudad Universitaria;/alquilar/piso-zona_universitaria-45066802566_103800/;Zona Universitaria (Bormujos);4 habs.;120 m²;"Alquiler vacacional para meses de julio y agosto. 

Estupenda planta baja en urbanización cerrada con piscina comunitaria y zonas ...";37.3717973;-6.0853825;;;sevilla
700 €/mes;Ático en calle Jose Maria Olazabal, nº 17;/alquilar/atico-las_pajanosas-44266393991_106000/;Las Pajanosas (Guillena);2 habs.;82 m²;Oportunidad atico exclusivo en urb. Hato verde! Disponible a partir del 1 de julio. Precioso ático en alquiler por 700 euros/mes d...;37.3176;-5.95091;1 baño;;sevilla
775 €/mes;Piso en Plaza Tomás Pavón;/alquilar/piso-san_pablo_santa_justa_san_pablo41007-45093863850_103800/;San Pablo (Distrito San Pablo-Santa Justa. Sevilla Capital);3 habs.;65 m²;Piso  en san pablo, con 65 m² construidos, 3 dormitorios, 1 baños, semi reformado, exterior, planta 4, 1 armarios, cocina con elec...;37.394371464;-5.966951477;;4ª planta;sevilla
750 €/mes;Piso en calle del Mar Báltico;/alquilar/piso-mairena_del_aljarafe_simon_verde-45062714643_100500/;Simón Verde (Mairena del Aljarafe);2 habs.;63 m²;Mairena del aljarafe.- residencial mar báltico. Piso amueblado, superficie de 63 metros cuadrados aproximadamente, se distribuye e...;37.3465284;-6.0386498;1 baño;2ª planta;sevilla
