precio;sub_descr;href;ubicacion;planta;otros;latitude;longitude;habitaciones;banios;mt2;CCAA
220.000 €;;/comprar/piso-nervion_ciudad_jardin41005-30838264737_501162/;Ciudad Jardín (Distrito Nervión. Sevilla Capital);3ª planta;"Magnífico piso en venta , zona de nervion, buena ubicación, en buen estado para entrar a vivir, sin ascensor.

Muy luminoso, cerca...";37.3829928;-5.9676002;2 habs.;2 baños;95 m²;sevilla
174.999 €;;/comprar/casa-alcala_de_guadaira_centro-43373987089_517213/;Centro (Alcalá de Guadaíra);;Buenas calidades con patio y gran azotea con inmejorables vistas. La vivienda consta de dos dormitorios amplios con posibilidad de...;37.3366764;-5.8495769;2 habs.;2 baños;135 m²;sevilla
148.900 €;;/comprar/chalet-bollullos_de_la_mitacion_centro_urbano41110-44182548722_100500/;Bollullos de la Mitación;;La ubicación de esta casa adosada es inigualable, situada en la mejor zona de bollullos de la mitación.disfrutarás de la cercanía ...;37.344741492;-6.138686255;3 habs.;;;sevilla
115.000 €;;/comprar/piso-barrio_leon_el_tardon_blas_infante41010-43364248786_100200/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);;C/ jalón. - piso que consta de salón, cocina y baño. Planta baja sin ascensor. Excelente ubicación, junto a blas infante, salida a...;37.3748884;-6.0125058;3 habs.;;56 m²;sevilla
66.000 €;;/comprar/piso-lebrija_centro_urbano-39182766744_995571/;Lebrija;2ª planta;"Piso en calle los ángeles, lebrija, sevilla, 
La vivienda dispone de 72 m² distribuidos en amplio salón con acceso a terraza, coci...";36.913298669;-6.074665579;3 habs.;1 baño;72 m²;sevilla
259.900 €;;/comprar/casa_pareada-oromana-38357336452_100200/;Oromana (Alcalá de Guadaíra);;¡Bienvenidos a esta maravillosa casa pareada en venta! Con una parcela de 356m² y 156m² construidos, esta vivienda es perfecta par...;37.3135429;-5.8648;4 habs.;1 baño;156 m²;sevilla
260.000 €;;/comprar/casa_pareada-salteras_centro_urbano-45061063370_100500/;Salteras;;"Chalet pareado en venta en salteras (sevilla).

Vive en un oasis de tranquilidad y confort en este magnífico chalet pareado en sal...";37.4216549;-6.114009;6 habs.;4 baños;218 m²;sevilla
39.500 €;;/comprar/casa_unifamiliar-la_luisiana_centro_urbano-45034858083_100200/;La Luisiana;;"Se vende casa para reformar en la luisiana.

Se trata de una vivienda de 209m² de dos plantas con posibilidad de hacer una viviend...";37.524739068;-5.252660615;4 habs.;1 baño;209 m²;sevilla
223.000 €;Piso en Avenida de las Civilizaciones,  s/n;/comprar/piso-nuevo_bulevar-4244274088_109700/;Nuevo Bulevar (Mairena del Aljarafe);5ª planta;P2 5ºc. Piso en un edificio de obra nueva de 67 m² de superficie construida y ubicado en la zona de mairena del aljarafe, enclavad...;37.3427023;-6.0556156;2 habs.;2 baños;67 m²;sevilla
270.000 €;Casa adosada en Camino de Bollullos,  s/n;/comprar/casa_adosada-mairena_del_aljarafe_casco_antiguo-4372748448_109700/;Casco Antiguo (Mairena del Aljarafe);;Tipo 2. Casa adosada de obra nueva, de 125 m² de superficie construida, y emplazada en la zona de mairena del aljarafe.  Está disp...;37.3448076;-6.0681271;4 habs.;3 baños;125 m²;sevilla
