precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta;CCAA
1.500 €/mes;;/alquilar/piso-cortes_huertas28014-45919666751_100200/;Cortes-Huertas (Distrito Centro. Madrid Capital);1 baño;70 m²;"`agencia inmobiliaria de madrid zona huertas-cortes tecnocasa estudio huertas-cortes slu

Alquila para estancias cortas - 2 a 3 me...";40.4131639;-3.69711;1 hab.;3ª planta;madrid
700 €/mes;;/alquilar/atico-centro_embajadores_lavapies28012-44221426364_101800/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);1 baño;11 m²;"Sólo alquiler opción compra

Alquiler con opción a compra

* precio de venta 138.000€
* con una entrada inicial de 13.800€, a la e...";40.4111407;-3.7070654;;;madrid
1.700 €/mes;;/alquilar/piso-retiro_estrella28007-45931803361_101000/;Estrella (Distrito Retiro. Madrid Capital);2 baños;95 m²;** alfa doctor esquerdo**  ¡¡¡ Alquila piso a estrenar !!! Recién reformado una urbanización con zonas ajardinadas muy tranquila e...;40.415284726;-3.668176849;2 habs.;;madrid
1.200 €/mes;;/alquilar/piso-centro_embajadores_lavapies28012-45088889254_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);1 baño;49 m²;Zona madrid real estate alquila estupenda vivienda de 49m², reformada, tercera planta, exterior, amueblada, para entrar a vivir. L...;40.4130776;-3.7016818;1 hab.;3ª planta;madrid
1.190 €/mes;;/alquilar/piso-las_aguilas28044-45834249459_515004/;Las Águilas (Distrito Latina. Madrid Capital);1 baño;74 m²;En este piso situado en la planta 15º de un edificio con ascensor, encontrarás un espacio de 74 m² en total, con 1 habitación indi...;40.3795885;-3.7707559;2 habs.;15ª planta;madrid
875 €/mes;;/alquilar/piso-fuente_del_berro28028-40833666207_100200/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 baño;32 m²;"Agencia inmobiliaria de madrid - zona salamanca - fuente del berro - goya- alquila piso en calle josé celestino mutis.
Vivienda en...";40.4235156;-3.664874;1 hab.;1ª planta;madrid
975 €/mes;;/alquilar/piso-centro_palacio28005-45881660253_108900/;Palacio (Distrito Centro. Madrid Capital);1 baño;45 m²;"¿Quieres vivir en el centro, junto al mercado de la cebada?

Bonito apartamento reformado con mucha luz.
Dispone: 1 dormitorio con...";40.4104345;-3.711427;1 hab.;;madrid
1.050 €/mes;;/alquilar/piso-cortes_huertas28014-45872747602_100500/;Cortes-Huertas (Distrito Centro. Madrid Capital);1 baño;45 m²;Sycasa alquila piso de 1 dormitorio (concepto abierto) ubicado en zona excepcional del centro, de madrid a escasos metros del monu...;40.414277;-3.6977894;1 hab.;3ª planta;madrid
6.500 €/mes;;/alquilar/piso-salamanca_castellana28006-37558398811_100500/;Castellana (Distrito Salamanca. Madrid Capital);5 baños;334 m²;Diza consultores les  presenta una oportunidad excepcional en el corazón de barrio salamanca, madrid: una vivienda de lujo en la p...;40.4325352;-3.6811678;4 habs.;1ª planta;madrid
1.200 €/mes;;/alquilar/piso-pueblo28223-45061520819_101800/;Pueblo (Pozuelo de Alarcón);2 baños;95 m²;Descubre tu nuevo hogar en la mejor zona de la estación de pozuelo! Este piso reformado, disponible a partir de julio de 2024, te ...;40.439059485;-3.807947216;2 habs.;2ª planta;madrid
2.600 €/mes;;/alquilar/piso-el_soto_de_la_moraleja28109-44246708905_179400/;El Soto de la Moraleja (La Moraleja);1 baño;107 m²;"Magnapol alquila  encantador piso totalmente reformado. Con una superficie total de 97 m² .
Dos habitaciones ,la principal en suit...";40.5215231;-3.6441837;2 habs.;2ª planta;madrid
1.200 €/mes;Apartamento en calle de Joaquín María López;/alquilar/apartamento-gaztambide28015-45859283949_108900/;Gaztambide (Distrito Chamberí. Madrid Capital);1 baño;66 m²;"Solo estudiantes .&nbsp; entrada inmediata.

La vivienda se encuentra totalmente amueblada y lista para entrar a vivir. Dispone de...";40.43796;-3.71754;1 hab.;;madrid
4.000 €/mes;;/alquilar/casa_unifamiliar-la_finca-945856908153548_109700/;La Finca (Pozuelo de Alarcón);3 baños;550 m²;"""la finca"" chalet adosado en prado del rey - . Tiene 550 m². Distribuidos en: planta calle: amplio hall de entrada, gran salon con...";40.41322;-3.797741;5 habs.;;madrid
1.550 €/mes;;/alquilar/piso-castillejos28020-5083945620_996542/;Castillejos (Distrito Tetuán. Madrid Capital);2 baños;70 m²;"Piso moderno amueblado con menaje de cocina, ropa de cama y toallas. Disponible el 1 de mayo
Salón comedor de 24 m² con sofá cama ...";40.462375755;-3.693929437;2 habs.;3ª planta;madrid
1.150 €/mes;Estudio en calle de San Florencio, 5;/alquilar/estudio-numancia28038-39198640641_527206/;Numancia (Distrito Puente de Vallecas. Madrid Capital);1 baño;40 m²;"Alquiler temporal! 1 a 11 meses. Para entrar a vivir! Wifi y consumos funcionando.
Sin comisiones. Entrada inmediata. Totalmente e...";40.40440625610857;-3.659934096865437;1 hab.;;madrid
3.800 €/mes;;/alquilar/atico-chamberi_almagro28010-26677046861_100500/;Almagro (Distrito Chamberí. Madrid Capital);3 baños;185 m²;"“exclusivo ático en una de las mejores calles de almagro"" 
Situada en el elegante barrio de almagro, esta vivienda se encuentra en...";40.4260218;-3.6920468;4 habs.;;madrid
2.950 €/mes;;/alquilar/atico-la_moraleja_distrito28109-890311380_179400/;La Moraleja (La Moraleja);3 baños;170 m²;"Magnapol alquila ático duplex en el encinar de los reyes . 170 m² muy luminosos distribuidos en dos plantas  ; 3 dormitorios ,el p...";40.512135833;-3.653385378;3 habs.;;madrid
1.200 €/mes;Apartamento en calle del Poeta Joan Maragall, 19;/alquilar/apartamento-castillejos28020-45078622957_991150/;Castillejos (Distrito Tetuán. Madrid Capital);1 baño;65 m²;"Zona plaza de cuzco apartamento amueblado, en finca buena todo exterior mucha luz., en ultima planta del edificio.
Consta de un s...";40.457092;-3.692435;1 hab.;10ª planta;madrid
4.500 €/mes;;/alquilar/piso-chamartin_prosperidad28002-24216936702_996542/;Prosperidad (Distrito Chamartín. Madrid Capital);4 baños;177 m²;Diplomatic real estate ofrecel piso recien recién reformado y sin estrenar, decorado de manera muy moderna, y con un ambiente ampl...;40.4388708;-3.6733883;4 habs.;4ª planta;madrid
1.900 €/mes;;/alquilar/atico-justicia_chueca28004-25058411844_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 baño;80 m²;"Diplomatic real estate ofrece precioso ático con terraza de 20 m².
Edificio construidos hace 16 años.
Salón luminoso con acceso te...";40.419980685;-3.696520592;1 hab.;;madrid
1.531 €/mes;;/alquilar/apartamento-legazpi_barrio28045-35049318432_518087/;Legazpi (Distrito Arganzuela. Madrid Capital);1 baño;54 m²;Amplio estudio cercano al centro artístico matadero madrid donde podrás disfrutar de las exposiciones, recorrer lugares históricos...;40.3889703;-3.694227;1 hab.;4ª planta;madrid
2.100 €/mes;;/alquilar/piso-chamberi_almagro28010-25029242418_100500/;Almagro (Distrito Chamberí. Madrid Capital);1 baño;90 m²;"""en calle principal de almagro, tres dormitorios con camas dobles"" ""para entrar el 1 de agosto"" 
""por favor contactar con nombre y...";40.4340499;-3.6946476;3 habs.;;madrid
1.100 €/mes;;/alquilar/piso-carabanchel_comillas28019-45913739835_100200/;Comillas (Distrito Carabanchel. Madrid Capital);;88 m²;"Agencia inmobiliaria de madrid zona plaza eliptica - comillas oficina tecnocasa de madrid

¡Descubre tu nuevo hogar en el corazón ...";40.3887083;-3.7160763;2 habs.;2ª planta;madrid
675 €/mes;;/alquilar/apartamento-casco_antiguo_sur-45884713335_992238/;Casco Antiguo Sur (Ciempozuelos);1 baño;60 m²;¡Descubre tu nuevo hogar en el corazón de la ciudad! Este encantador piso de 60 m² construidos y 58 m² útiles, ubicado en la segun...;40.1581581;-3.6174111;1 hab.;2ª planta;madrid
1.015 €/mes;;/alquilar/piso-paracuellos_de_jarama_centro_urbano-43423459593_108900/;Paracuellos de Jarama;;68 m²;¡Alta de suministros gratis! Disfruta de tu hogar desde el primer momento, fidere te acompaña en la gestión de los suministros de ...;40.5037477;-3.5154877;2 habs.;2ª planta;madrid
2.300 €/mes;Apartamento en calle de Garellano, 3;/alquilar/apartamento-bellas_vistas28039-39173847142_527206/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;58 m²;"Alquiler temporal! 1 a 11 meses. Para entrar a vivir! Wifi y consumos funcionando.
Sin comisiones. Entrada inmediata. Totalmente e...";40.44801310136708;-3.706098519316339;2 habs.;1ª planta;madrid
4.950 €/mes;;/alquilar/atico-nueva_espana28036-945856909318930_109700/;Nueva España (Distrito Chamartín. Madrid Capital);4 baños;320 m²;"Ático dúplex con230 m² útiles  2 terrazas. 3 plazas de garaje y trastero. 
 Urbanización privada con vigilancia 24 horas,  amplias...";40.4568683;-3.669093;4 habs.;;madrid
1.230 €/mes;;/alquilar/piso-parque_empresarial28232-44174219316_108900/;Parque Empresarial (Las Rozas de Madrid);;70 m²;"Espectacular vivienda de 2 dormitorios en perfecto estado de alquiler. Y además, ¡Con plaza de garaje incluida!
 
¡Alta de suminis...";40.4992667;-3.8832471;2 habs.;2ª planta;madrid
2.300 €/mes;;/alquilar/piso-justicia_chueca28004-43412106619_106700/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;123 m²;Ubicación inmejorable: en pleno centro de la capital, una calle tranquila del popular barrio de chueca y a pocos minutos caminando...;40.423997;-3.7004482;2 habs.;;madrid
1.000 €/mes;;/alquilar/piso-parque_ondarreta_urtinsa-37576959990_501059/;Parque Ondarreta-Urtinsa (Alcorcón);1 baño;70 m²;Isol business alquila magnifico piso reformado y en exelente estado, amueblado, y listo para entrar, en el municipio de alcorcón, ...;40.343404;-3.817785;1 hab.;Bajo;madrid
1.000 €/mes;;/alquilar/piso-centro_palacio28013-45925601426_100500/;Palacio (Distrito Centro. Madrid Capital);1 baño;45 m²;Presentamos este encantador piso en alquiler, ubicado en el prestigioso distrito de centro. Con 45 m² construidos y 38 m² útiles, ...;40.4162533;-3.7095419;1 hab.;1ª planta;madrid
2.000 €/mes;;/alquilar/piso-hortaleza_palomas28042-45930803521_996542/;Palomas (Distrito Hortaleza. Madrid Capital);2 baños;90 m²;"Diplomatic real estate, ofrece piso moderno con mobiliario actual próximo hipercor campo de las naciones.
 Salón comedor en dos am...";40.455256429;-3.62090078;2 habs.;2ª planta;madrid
2.200 €/mes;;/alquilar/piso-sol_barrio28013-45868910835_100500/;Sol (Distrito Centro. Madrid Capital);2 baños;85 m²;"Domum realty alquila: ¡Precioso piso completamente reformado, en pleno centro de madrid! 
 
**disponibilidad inmediata. 

El piso ...";40.4198846;-3.707663;2 habs.;4ª planta;madrid
1.150 €/mes;;/alquilar/estudio-chamartin_el_viso28002-45025489740_100500/;El Viso (Distrito Chamartín. Madrid Capital);1 baño;35 m²;"Estudio reformado y amueblado con calefacción y wifi incluidos

¡Ideal para estudiantes internacionales! Ya disponible para visita...";40.4431438;-3.6828988;;;madrid
1.750 €/mes;;/alquilar/piso-centro_embajadores_lavapies28012-45045143463_518924/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 baños;76 m²;"Oportunidad estudiantes.

¡Piso en el corazón de madrid! Este increíble piso amueblado cuenta con todas las comodidades que necesi...";40.4574289;-3.7801038;3 habs.;1ª planta;madrid
2.580 €/mes;;/alquilar/piso-apostol_santiago-42536350077_109300/;Apóstol Santiago (Distrito Hortaleza. Madrid Capital);3 baños;200 m²;"De rojas servicios inmobiliarios, pone a su disposición en alquiler, vivienda, en zona residencial de madrid, arturo soria 

El in...";40.4698316;-3.6602351;4 habs.;;madrid
2.200 €/mes;;/alquilar/piso-centro_embajadores_lavapies28012-45097224517_518924/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 baños;80 m²;"¡Piso ideal para estudiantes en lavapiés amueblado y wifi!

¡Alquiler perfecto para estudiantes en el corazón de madrid! Disfruta ...";40.4063718;-3.7002825;4 habs.;1ª planta;madrid
3.200 €/mes;;/alquilar/piso-universidad_malasana28004-35053241457_996542/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 baños;82 m²;"Diplomatic real estate ofrece piso moderno con buen mobiliario a un paso de plaza de españa.
Salón comedor de 26 m² y recibidor.
2...";40.4224742;-3.7097727;2 habs.;4ª planta;madrid
990 €/mes;;/alquilar/piso-zona_sureste-45005410814_108900/;Zona Sureste (Torrejón de Ardoz);;74 m²;¡Alta de suministros gratis! Disfruta de tu hogar desde el primer momento, fidere te acompaña en la gestión de los suministros de ...;40.462992;-3.4381372;2 habs.;3ª planta;madrid
1.422 €/mes;Apartamento en calle de Barbieri, 8;/alquilar/apartamento-justicia_chueca28004-31756652007_518087/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 baño;40 m²;Acogedor apartamento de una habitación en el centro de madrid, en el barrio de chueca. Fácil acceso a supermercados, tiendas, rest...;40.42088574293719;-3.6981394458990398;1 hab.;3ª planta;madrid
680 €/mes;;/alquilar/apartamento-villalba_estacion-38371575440_511569/;Villalba Estación (Collado Villalba);1 baño;55 m²;Gran oportunidad, se alquila estupendo apartamento, muy luminoso, en casco urbano junto a la plaza de los belgas y a la vez es una...;40.6283359;-4.002157;1 hab.;1ª planta;madrid
