precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;raw_json;CCAA
359.000 €;Casa adosada en Carrer de Bertran de Seva;/comprar/casa_adosada-hostal_lledoner08402-42562290864_528060/;L'Hostal-Lledoner (Granollers);4 habs.;2 baños;250 m²;;"Se vende fantástica casa unifamiliar adosada, reformada nueva a estrenar en granollers.

Se trata de una vivienda de tres plantas ...";41.6144696;2.2946326;;barcelona
315.000 €;Piso en Carrer de Batllori, 10;/comprar/piso-sant_josep08901-4120804493_109700/;Sant Josep (L'Hospitalet de Llobregat);3 habs.;2 baños;104 m²;;Planta tipo - vivienda at1. Vivienda libre. Piso en un inmueble de obra nueva de 104 m² de superficie construida y situado en la z...;41.3638035;2.1113803;;barcelona
318.000 €;Piso en Parcelas 42, 43, 44;/comprar/piso-la_torre_roja_camprecios_grup_sant_jordi-43395883220_109700/;La Torre-roja-Campreciós-Grup Sant Jordi (Viladecans);3 habs.;2 baños;117 m²;;Piso en un edificio de obra nueva de 117 m² de superficie construida y ubicado en la zona de viladecans, con orientación suroeste....;41.324046;2.021818;;barcelona
485.000 €;Piso en Carrer de Ciudad Real;/comprar/piso-la_vila_de_gracia08012-43413891729_101800/;La Vila de Gràcia (Distrito Gràcia. Barcelona Capital);2 habs.;2 baños;65 m²;1ª planta;"Dúplex con encanto en finca construida en 2013 en el corazón del barrio de gracia en una calle semi-peatonal. 
Se entrega parcialm...";41.4037055;2.1590841;;barcelona
281.000 €;Piso en Carrer de Victoria dels Àngels, 2;/comprar/piso-mas_rampinyo_carrerada_mas_pomada-3939227002_109700/;Mas Rampinyo-Carrerada-Mas Pomada (Montcada i Reixac);3 habs.;2 baños;104 m²;1ª planta;Esc. A - 1º 2ª. Piso en un inmueble de obra nueva de 104 m² de superficie construida y situado en la zona de montcada i reixac, ac...;41.498709;2.1822205;;barcelona
645.000 €;Piso en Carrer de la Mare de Déu del Coll;/comprar/piso-gracia_la_salut08023-4199293592_109700/;La Salut (Distrito Gràcia. Barcelona Capital);3 habs.;2 baños;98 m²;3ª planta;3º e. Piso en un inmueble de obra nueva de 98 m² de superficie construida y situado en la zona de barcelona capital, acomodado en ...;41.4087208;2.149916;;barcelona
35.000 €;Casa en Poble;/comprar/casa-la_torre_de_claramunt_centro_urbano-65895614475_104400/;La Torre de Claramunt;1 hab.;;120 m²;;Casa de pueblo a reformar. Planta baja con local de 60m² aprox. Vivienda con cocina, baño, comedor y varias dependencias.;41.5334877;1.6574943;;barcelona
526.000 €;Piso en Carrer del Baró de Sant Lluís;/comprar/piso-can_baro08024-43389862092_991923/;Can Baró (Distrito Horta-Guinardó. Barcelona Capital);3 habs.;2 baños;134 m²;Bajo;Situada en el encantador barrio del guinardó, esta bonita propiedad dúplex de 134m² ofrece una combinación perfecta de comodidad y...;41.4158766;2.1639631;;barcelona
695.000 €;Piso en Carrer de Santaló;/comprar/piso-sant_gervasi_galvany08021-41676822223_100500/;Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital);5 habs.;2 baños;153 m²;2ª planta;Una joya en pleno corazón  de galvany. Finca clásica, techos altos, a la calle y a patio de manzana. Todos los elementos originale...;41.395053592;2.146510376;;barcelona
275.000 €;Dúplex en Castellar del Vallès;/comprar/duplex-castellar_del_valles_centro_urbano-41721796947_108500/;Castellar del Vallès;3 habs.;2 baños;150 m²;;"Gestillar vallès te ofrece:. 
Bajos/dúplex de obra nueva en can bogunyà, castellar del vallès. Tiene una superficie de 150 m² con ...";41.617668005;2.092921898;;barcelona
