precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
495€;Luminoso apartamento en alquiler en el centro de la ciudad, Granada;https://rd.clk.thribee.com/id.61a81A1Q22p/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.23/;18009, Provincia de Granada;1  habitaciones;1  baños;-;...restaurantes y bares cercanos. Otras atracciones culturales a poca distancia incluyen la Catedral de Granada y Cuarto Real de Santo Domingo...;Hace 17 días;Rentola;Granada
315€;Habitación amueblada en piso compartido en Realejo, Granada;https://rd.clk.thribee.com/id.Is1M1mnvC1r/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.24/;18005, Provincia de Granada;4  habitaciones;-;150  m²;...Darro, este apartamento dispone de 4 habitaciones completamente equipadas disponibles para cualquiera que desee vivir en el centro de Granada...;Hace 17 días;Rentola;Granada
435€;Habitación amueblada en apartamento en San Francisco Javier, Granada;https://rd.clk.thribee.com/id.1qC1a121c1z1Mn/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.25/;39012, Provincia de Granada;10  habitaciones;-;300  m²;...restaurantes y pequeños parques. La ubicación es ideal si asistirá a la Universidad de Granada, con múltiples campus a menos de 5 minutos a pie...;Hace 17 días;Rentola;Granada
1.000€;Amazing 2-bedroom house in residential El Fargue;https://rd.clk.thribee.com/id.Bx1P1E1QD1p/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.1/;18010, Provincia de Granada;2  habitaciones;2  baños;-;Casa a estrenar en el barrio tranquilo del Fargue. Bien comunicado con los autobuses urbanos y cerca del Campus universitario de la Cartuja. La c...;Hace 19 días;Rentola;Granada
360€;Habitaciones, con terraza exterior. A 50 mts del Mercadona y del Metro;https://rd.clk.thribee.com/id.1r1TY1gP1DLE/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.2/;18004, Provincia de Granada;4  habitaciones;1  baños;-;Piso en zona centro. Muy luminoso y ventilado. Muy cerca del Parque federico Garcia Lorca. Bien comunicado con la Universidad, con la estación de...;Hace 17 días;Rentola;Granada
900€;Amazing 2-bedroom flat close to Almuñécar La Herradura Beaches;https://rd.clk.thribee.com/id.1sQ4Y1v1VzQ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.3/;18690, Provincia de Granada;2  habitaciones;2  baños;-;Amazing 2-bedroom flat in Almuñécar, in front of Velilla Beaches. If you rent this flat on June, July, august or September, electric, water, inte...;Hace 4 días;Rentola;Granada
1.000€;Piso estudiantes curso 24/25 zona cartuja junto a correos;https://rd.clk.thribee.com/id.1w1c16ec10131z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.4/;18011, Provincia de Granada;4  habitaciones;1  baños;80  m²;Se alquila piso para curso 24/25, completamente reformado con mobiliario y camas a estrenar, en zona cartuja junto a correos y a menos de 10 minu...;Hace 17 días;Rentola;Granada
330€;Snug double bedroom near Parque Federico García Lorca;https://rd.clk.thribee.com/id.1xRC1jZe1o1l/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.5/;18003, Provincia de Granada;5  habitaciones;2  baños;-;Rental period for this listing is between 3. 24 months...;Hace 2 días;Rentola;Granada
1.000€;Piso en alquiler junto a basilica de las angustias;https://rd.clk.thribee.com/id.TI1N1DEV111t/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.6/;18009, Provincia de Granada;3  habitaciones;1  baños;87  m²;Se alquila piso totalmente amueblado y reformado en zona centro, a 2 minutos de la basílica de las angustias. Consta de 3 dormitorios, (uno de ma...;Hace 17 días;Rentola;Granada
1.800€;Modern 3-bedrooms house, with outdoor area;https://rd.clk.thribee.com/id.o171lC1i1qbt/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.13372trovit-web-7f7dc96976-2kwxc668715bac8fe8/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.40/cookieid.1020120668715bac8ba28.77442931/pos.7/;18212, Provincia de Granada;3  habitaciones;2  baños;-;Rental period for this listing is between 3. 24 months...;Hace 2 días;Rentola;Granada
