precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
160.000 €;;/comprar/piso-segle_xx08223-43334135098_103800/;Segle XX (Distrito Segle XX-La Cogullada. Terrassa);1 hab.;52 m²;"Atencion solo inversores
Se venden dos viviendas en diferentes puntos de terrassa. Una en torresana y otra en segle xx. Las dos so...";41.5540519;2.0173349;1 baño;;barcelona
188.000 €;;/comprar/piso-la_maurina08224-43342175730_106000/;La Maurina (Distrito Roc Blanc-La Maurina. Terrassa);4 habs.;99 m²;Ref. 1082_pisazo. Os presentamos este fabuloso piso de 4 habitaciones. Empezamos. Entrando por la puerta principal, accedemos al r...;41.5635248;1.9973691;2 baños;6ª planta;barcelona
178.000 €;;/comprar/apartamento-sant_pere_santa_caterina_la_ribera08003-45026711196_101800/;Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital);1 hab.;38 m²;"¿Te lo vas a perder? ************** producto estrella fincador!

Magnífico piso amueblado en venta en 3° planta en finca de 1900 s...";41.3883189;2.1767819;1 baño;3ª planta;barcelona
167.260 €;;/comprar/piso-esparreguera_centro_urbano-45001957802_100500/;Esparreguera;4 habs.;168 m²;"Ref. Mce5926pb

Piso céntrico a la venta en esparreguera

Fantástico piso céntrico en esparreguera. Muy luminoso, y con fantástica...";41.542283324;1.869254212;2 baños;3ª planta;barcelona
349.000 €;;/comprar/casa_pareada-santa_eugenia_de_berga_centro_urbano-30922335461_110700/;Santa Eugènia de Berga;4 habs.;179 m²;Casa aparellada d'obra nova en venda situada a santa eugènia de berga. Disposa d'una superfície construïda de 178.75m² sobre un so...;41.900629299;2.286525389;2 baños;;barcelona
189.000 €;;/comprar/piso-vilapicina_la_torre_llobeta08031-45049424909_100200/;Vilapicina-La Torre Llobeta (Distrito Nou Barris. Barcelona Capital);2 habs.;53 m²;Estupendo piso en passeig de maragall, primero de altura en una finca con ascensor encontramos esta vivienda de 60 metros distribu...;41.4282297;2.1632598;;1ª planta;barcelona
220.000 €;;/comprar/casa-esparreguera_centro_urbano-42542093008_501686/;Esparreguera;5 habs.;120 m²;Casa a cuatro vientos de 120 metros con dos plantas a reformar, con muchas posibilidades en urbanización mas d'en gall. La primera...;41.532672315;1.835706942;2 baños;;barcelona
400.000 €;;/comprar/chalet-sant_pol_de_mar_centro_urbano-45049649450_515458/;Sant Pol de Mar;2 habs.;265 m²;"Referencia catastral. 6958502dg6065n0001ut     
Localización
Cl doctor marques 16
08395 sant pol de mar (barcelona)
Urbana: vivien...";41.6010138;2.6026847;2 baños;;barcelona
395.000 €;;/comprar/duplex-badalona_centre08912-45096438214_100500/;Centre (Badalona);2 habs.;90 m²;Dúplex de obra nueva en edificio totalmente rehabilitado con gran encanto. Acabados de primera calidad, mezclando rústico con mode...;41.44599;2.2471405;1 baño;2ª planta;barcelona
420.200 €;Piso en Carrer del Ferro, 24;/comprar/piso-la_marina_del_prat_vermell_zona_franca_port08038-32502026307_109700/;La Marina del Prat Vermell-Zona Franca-Port (Distrito Sants-Montjuïc. Barcelona Capital);4 habs.;;"Próxima entrega

¿Conoces AQ Urban Fira? Un proyecto innovador y de reducido impacto ecológico, con el que evolucionamos hacia una vivienda más responsable contribuyendo a un planeta más sostenible. 

LA CULTURA A 10 MINUTOS DE CASA

Descubre AQ Urban Fira, un proyecto inmobiliario en La Marina del Prat Vermell de Barcelona. Este complejo de viviendas de obra nueva se encuentra en el barrio de Sants-Montjuic, en la ciudad de Barcelona, donde puedes disfrutar tanto del mar como de la montaña, rodeado de una amplia oferta cultural (museos, teatros, instalaciones deportivas, etc.).

TU NUEVO HOGAR CUIDA DE TI 
El Edificio Berlín cuenta con viviendas de 1 a 4 dormitorios. Todas ellas disponen de terrazas, para que puedas disfrutar tanto dentro como fuera de tu nuevo hogar, además de espacios abiertos, que permiten óptimas condiciones de ventilación e iluminación para el relax y confort. 

Además, cuenta con el certificado Breeam, método que evalúa y certifica la sostenibilidad en la edificación, habiendo alcanzado el nivel “very good”*.

¿Quieres más información sobre tu futuro hogar? Visita nuestra oficina de ventas en la Carrer del Foc 30 o llámanos para que te contemos más. 

Características de las viviendas:

- Viviendas de 1 a 4 dormitorios 
- Amplios espacios abiertos 
- Cocina amueblada 
- Control de temperatura mediante termostato, tanto calefacción como aire acondicionado 
- Plaza de garaje y trastero 
- Zona comunitaria recreativa 
- Aparcamiento para bicicletas


*certificados provisionales referentes a la Fase de Diseño.

Imágenes no contractuales y meramente ilustrativas sujetas a modificaciones por necesidades técnicas, jurídicas o comerciales de la dirección facultativa o exigencias municipales";41,353846;2,137017;2 baños;;barcelona
299.000 €;;/comprar/casa-sant_boi_de_llobregat_centre-41684743378_101800/;Centre (Sant Boi de Llobregat);4 habs.;110 m²;[ref. A3453] ¡Casa de 4 habitaciones única en la zona con una gran terraza a nivel soleada todo el día! Gran salón comedor de 30 m...;41.3454431;2.0409951;3 baños;;barcelona
169.000 €;;/comprar/duplex-pla_de_sant_magi-22520820676_100500/;Pla de Sant Magí (Igualada);2 habs.;113 m²;Situat a igualada, poble sec, amb tots els serveis a l'abast, supermercats, centres mèdics, escoles, llar d'infants, zones verdes....;41.58399554;1.613220746;1 baño;2ª planta;barcelona
127.000 €;;/comprar/piso-can_sant_joan-45016621800_100200/;Can Sant Joan (Montcada i Reixac);2 habs.;62 m²;¡Descubre tu nuevo hogar en can sant joan, montcada i reixac! Este encantador piso de 62 m² construidos y 56 m² útiles te ofrece u...;41.4706388;2.1832542;;;barcelona
449.000 €;;/comprar/piso-la_sagrada_familia08025-37544727664_106700/;La Sagrada Família (Distrito Eixample. Barcelona Capital);3 habs.;121 m²;Maravilloso piso en finca regia con buena presencia en el corazón del barrio de la sagrada família. Cercano a transporte público, ...;41.4078686;2.1754363;2 baños;;barcelona
155.000 €;;/comprar/piso-calella_centro_urbano08370-45066973292_996907/;Calella;2 habs.;70 m²;"Excelente ubicación listo para entrar a vivir
Piso con ascensor en el centro de calella, dispone de dos habitaciones dobles, una c...";41.614297396;2.656372194;1 baño;1ª planta;barcelona
275.000 €;;/comprar/piso-pineda_de_mar_centre-41738044831_996907/;Centre (Pineda de Mar);3 habs.;103 m²;"Excepcional piso con vistas al mar con terraza y junto todos los servicios en pineda centro
Gran piso de 103m² 
Comedor con chimen...";41.620820928;2.688175852;2 baños;2ª planta;barcelona
142.000 €;;/comprar/piso-ca_noriol-44171308878_100200/;Ca n'Oriol (Rubí);1 hab.;38 m²;Os presentamos este piso de 1 habitación en 33m² útiles más terraza de 17m², en la serreta. Es un inmueble de diseño actual y muy ...;41.5026848;2.0460614;;;barcelona
120.000 €;;/comprar/piso-la_salut_lloreda_sistrells08917-45069566608_518281/;La Salut-Lloreda-Sistrells (Badalona);3 habs.;77 m²;"Se vende vivienda en badalona, en la calle olivera de sistrells.

La vivienda se encuentra en una segunda planta sin ascensor de u...";41.4480867;2.2273027;1 baño;2ª planta;barcelona
188.000 €;;/comprar/piso-el_carmel08032-45854206701_500869/;El Carmel (Distrito Horta-Guinardó. Barcelona Capital);2 habs.;60 m²;"¡Excelente oportunidad en calle ramon rocafull!
Se vende precioso piso reformado de aproximadamente 60 m², ubicado en la calle ram...";41.4225793;2.1542338;1 baño;2ª planta;barcelona
