"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","430278.155","4584008.823","430186.225","4583807.872","2.164786","41.402783","BUS -47-H8--","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432414.913","4586939.134","432322.964","4586738.156","2.190018","41.429358","NITBUS -N9--","09","60","Sant Andreu","Sant Andreu","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429823.756","4580129.208","429731.829","4579928.293","2.1598","41.367801","BUS -55-150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432840.127","4582388.124","432748.173","4582187.188","2.195612","41.388404","BUS -59-V21-V27-136--","10","67","Sant Martí","la Vila Olímpica del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432840.127","4582388.124","432748.173","4582187.188","2.195612","41.388404","NITBUS -N0-N15--","10","67","Sant Martí","la Vila Olímpica del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427919.198","4586598.391","427827.291","4586397.417","2.136259","41.425897","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430514.569","4588306.156","430422.638","4588105.165","2.167119","41.441507","NITBUS -N4--","08","48","Nou Barris","la Guineueta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430755.5","4584621.56","430663.566","4584420.603","2.170425","41.408343","BUS -47-H8--","07","33","Horta-Guinardó","el Baix Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432401.795","4589493.811","432309.847","4589292.809","2.189575","41.452365","BUS -127--","09","57","Sant Andreu","la Trinitat Vella","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431251.191","4581030.173","431159.251","4580829.25","2.176764","41.376039","BUS -120--","01","01","Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430927.569","4580690.952","430835.632","4580490.032","2.172933","41.372956","BUS -121--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424590.066","4585657.043","424498.189","4585456.079","2.096539","41.417113","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424423.059","4585783.584","424331.184","4585582.619","2.094525","41.418237","BUS -118--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427675.863","4580014.207","427583.956","4579813.294","2.134134","41.366575","BUS -V3--","03","16","Sants-Montjuïc","la Bordeta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428586.329","4586092.138","428494.415","4585891.168","2.144302","41.421397","BUS -119--","07","38","Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432104.93","4591023.028","432012.986","4590822.012","2.185849","41.466113","BUS -197--","08","56","Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431697.827","4591194.077","431605.886","4590993.059","2.180955","41.467619","BUS -197--","08","56","Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429032.818","4585074.264","428940.9","4584873.304","2.149764","41.41227","BUS -116--","06","30","Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429209.437","4584955.286","429117.517","4584754.327","2.151891","41.411214","BUS -116--","06","30","Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430725.045","4586049.907","430633.112","4585848.937","2.169897","41.421205","BUS -117--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428899.09","4586698.832","428807.174","4586497.857","2.147973","41.426889","BUS -112-185-V17--","07","41","Horta-Guinardó","la Vall d'Hebron","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428753.045","4586082.499","428661.13","4585881.53","2.146298","41.421325","BUS -119--","07","38","Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431283.785","4580895.63","431191.845","4580694.708","2.177169","41.37483","BUS -D20-H14--","01","01","Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428667.437","4582806.305","428575.522","4582605.366","2.14566","41.391811","BUS -V9--","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429165.816","4588167.392","429073.898","4587966.403","2.150992","41.44014","BUS -185--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429301.106","4579047.945","429209.184","4578847.041","2.153677","41.358017","BUS -107--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428202.493","4581677.848","428110.582","4581476.919","2.140233","41.381606","BUS -115--","03","18","Sants-Montjuïc","Sants","",""
"K014","Transports i serveis relacionats","Autobusos diürns","434112.142","4586142.607","434020.178","4585941.635","2.210416","41.422325","BUS -H12--","10","73","Sant Martí","la Verneda i la Pau","",""
