CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K015,Transports i serveis relacionats,Autobusos nocturns,429491.705,4584683.281,2.156376,41.410607,NITBUS -N0--,6.0,30.0,Gràcia,la Salut
K014,Transports i serveis relacionats,Autobusos diürns,430109.064,4585886.84,2.163622,41.421501,BUS -117--,7.0,36.0,Horta-Guinardó,la Font d'en Fargues
K014,Transports i serveis relacionats,Autobusos diürns,430108.903,4585913.378,2.163617,41.42174,BUS -117--,7.0,36.0,Horta-Guinardó,la Font d'en Fargues
K014,Transports i serveis relacionats,Autobusos diürns,426239.864,4576302.02,2.118492,41.334828,BUS -21--,3.0,12.0,Sants-Montjuïc,la Marina del Prat Vermell
K014,Transports i serveis relacionats,Autobusos diürns,425632.89,4575973.57,2.111279,41.331814,BUS -21--,3.0,12.0,Sants-Montjuïc,la Marina del Prat Vermell
K014,Transports i serveis relacionats,Autobusos diürns,428222.731,4580151.132,2.141731,41.369675,BUS -91-115--,3.0,16.0,Sants-Montjuïc,la Bordeta
K014,Transports i serveis relacionats,Autobusos diürns,428162.468,4585470.101,2.14038,41.417575,BUS -123--,6.0,28.0,Gràcia,Vallcarca i els Penitents
K014,Transports i serveis relacionats,Autobusos diürns,428207.518,4584998.004,2.140975,41.413327,BUS -129--,6.0,28.0,Gràcia,Vallcarca i els Penitents
K014,Transports i serveis relacionats,Autobusos diürns,429051.729,4585623.881,2.151002,41.419039,BUS -129--,6.0,29.0,Gràcia,el Coll
K014,Transports i serveis relacionats,Autobusos diürns,433146.284,4584438.016,2.200125,41.40871,BUS -V27--,10.0,71.0,Sant Martí,Provençals del Poblenou
K015,Transports i serveis relacionats,Autobusos nocturns,433146.284,4584438.016,2.200125,41.40871,NITBUS -N8--,10.0,71.0,Sant Martí,Provençals del Poblenou
K014,Transports i serveis relacionats,Autobusos diürns,428540.835,4582640.461,2.145241,41.392124,BUS -141--,2.0,8.0,Eixample,l'Antiga Esquerra de l'Eixample
K014,Transports i serveis relacionats,Autobusos diürns,427578.722,4585122.953,2.133437,41.414396,BUS -196-V13-H2--,5.0,25.0,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K014,Transports i serveis relacionats,Autobusos diürns,432394.53,4589407.043,2.190576,41.453401,BUS -127--,9.0,57.0,Sant Andreu,la Trinitat Vella
K014,Transports i serveis relacionats,Autobusos diürns,425494.818,4582980.677,2.108768,41.394912,BUS -113--,4.0,21.0,Les Corts,Pedralbes
K014,Transports i serveis relacionats,Autobusos diürns,426982.347,4582308.472,2.126641,41.388994,BUS -H6-V3--,4.0,21.0,Les Corts,Pedralbes
K014,Transports i serveis relacionats,Autobusos diürns,424481.693,4585388.966,2.09635,41.416507,BUS -118--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,424483.38,4585382.398,2.096371,41.416448,BUS -118--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,429838.649,4586449.816,2.160321,41.426547,BUS -19-102-87-H2-V23--,7.0,43.0,Horta-Guinardó,Horta
K014,Transports i serveis relacionats,Autobusos diürns,429488.1,4587668.541,2.155984,41.437493,BUS -185--,7.0,43.0,Horta-Guinardó,Horta
K014,Transports i serveis relacionats,Autobusos diürns,431408.528,4580428.745,2.17979,41.372453,BUS -V11--,1.0,1.0,Ciutat Vella,el Raval
K015,Transports i serveis relacionats,Autobusos nocturns,430826.042,4584917.455,2.172312,41.412832,NITBUS -N0--,7.0,35.0,Horta-Guinardó,el Guinardó
K014,Transports i serveis relacionats,Autobusos diürns,428065.345,4585217.03,2.139248,41.415287,BUS -131--,6.0,28.0,Gràcia,Vallcarca i els Penitents
K014,Transports i serveis relacionats,Autobusos diürns,428133.833,4585203.694,2.140069,41.415173,BUS -131--,6.0,28.0,Gràcia,Vallcarca i els Penitents
K014,Transports i serveis relacionats,Autobusos diürns,424614.59,4585606.311,2.097913,41.418477,BUS -118-128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,424375.953,4586284.086,2.094973,41.424559,BUS -128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
