DISTRITOS,EXPEDIENTES INSTRUIDOS,CONTACTOS CON CENTROS ESCOLARES,CON VICTIMAS,SIN VICTIMAS,EXPEDIENTES,PERSONAS DETENIDAS E INVESTIGADAS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS,PROPIEDAD INTELECTUAL E INDUSTRIAL,INFRACCIONES ALIMENTARIAS
MORATALAZ,1.0,1.0,23.0,27.0,7.0,3.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,12.0,,,,,,,,
PUENTE DE VALLECAS,2.0,0.0,49.0,63.0,63.0,69.0,22.0,17.0,4.0,74.0,1.0,0.0,9.0
RETIRO,1.0,0.0,48.0,33.0,9.0,7.0,5.0,5.0,0.0,5.0,2.0,32.0,27.0
SALAMANCA,0.0,0.0,60.0,65.0,8.0,34.0,9.0,31.0,0.0,25.0,1.0,2.0,13.0
SAN BLAS - CANILLEJAS,2.0,2.0,30.0,48.0,25.0,22.0,7.0,9.0,3.0,20.0,0.0,3.0,5.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,3.0,3.0,26.0,34.0,31.0,16.0,5.0,3.0,0.0,2.0,1.0,2.0,7.0
TOTAL,61.0,35.0,799.0,915.0,465.0,598.0,157.0,238.0,42.0,538.0,67.0,200.0,279.0
USERA,0.0,0.0,27.0,37.0,19.0,21.0,5.0,4.0,3.0,7.0,3.0,1.0,17.0
VICÁLVARO,6.0,4.0,24.0,17.0,6.0,7.0,3.0,5.0,1.0,4.0,1.0,0.0,0.0
