precio,sub_descr,href,ubicacion,habitaciones,banios,mt2,otros,publicado_hace,plataforma,CCAA,fuente_datos,alquiler_venta,fecha_extract,latitude,longitude,planta
349900.0,"Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N",/comprar/piso-ensanche_de_vallecas_valdecarros28051-4557610362_109700/,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),2.0,2.0,102.0,"Piso en un inmueble de obra nueva de 102 m2 de superficie construida y situado en la zona de Madrid Capital. Está estructurado en 2 habitaciones, 2 baños completos y terraza de 7 m2. Aporta como extras ascensor, garaje y trastero.",,,madrid,pisos.com,venta,2024-06-30,,,
280000.0,Piso en Rosas,/comprar/piso-san_blas_rosas28022-44228387375_527060/,Rosas (Distrito San Blas. Madrid Capital),3.0,2.0,100.0,"Excelente vivienda ubicada en el barrio de san blas.

Finca representativa con portero físico y ascensores del año 1976.

La vivie...",,,madrid,pisos.com,venta,2024-06-30,40.425876563,-3.611470023,1.0
895000.0,Chalet en calle del Clavel,/comprar/chalet-los_penascales-45074808542_101800/,Los Peñascales (Torrelodones),7.0,4.0,514.0,"Madecasa vende este precioso chalet en la mejor zona de torrelodones, con sus 514 m² construidos y su gran parcela de 2808m² const...",,,madrid,pisos.com,venta,2024-06-30,40.5795648,-3.9031254,
875000.0,Piso en calle de la Farmacia,/comprar/piso-justicia_chueca28004-41763657311_100500/,Justicia-Chueca (Distrito Centro. Madrid Capital),2.0,3.0,133.0,Ds realtors comercializa esta segunda planta exterior para entrar a vivir con ascensor en entreplantas en una de las calles mas tr...,,,madrid,pisos.com,venta,2024-06-30,40.4238645,-3.6995484,2.0
275000.0,Piso en Coslada,/comprar/piso-coslada_casco_antiguo28821-44236999039_105700/,Casco Antiguo (Coslada),3.0,2.0,118.0,"Globalpiso coslada vende !!!!

La vivienda se encuentra ubicada en una primera planta, exterior, con ascensor y está compuesta por...",,,madrid,pisos.com,venta,2024-06-30,40.4270835,-3.5659103,1.0
290000.0,"Piso en calle del Conde de Peñalver, 60",/comprar/piso-lista_barrio28006-39183060147_100500/,Lista (Distrito Salamanca. Madrid Capital),2.0,1.0,53.0,"Agencia inmobiliaria ds realtors te ofrece, sin honorarios al comprador, esta vivienda localizada en lista, en calle conde de peña...",,,madrid,pisos.com,venta,2024-06-30,40.4309,-3.67483,
399000.0,Casa unifamiliar en La Cabrera,/comprar/casa_unifamiliar-la_cabrera_centro_urbano-32548556280_501235/,La Cabrera,8.0,4.0,420.0,"Brem global inmobiliaria presenta conjunto de 3 casas independientes con vistas inmejorables al pico de la miel, situado en la cab...",,,madrid,pisos.com,venta,2024-06-30,40.8636589,-3.6125734,
225000.0,Piso en calle de San Raimundo,/comprar/piso-bellas_vistas28039-45077861053_527800/,Bellas Vistas (Distrito Tetuán. Madrid Capital),2.0,1.0,48.0,"Te presento este encantador inmueble con una excelente ubicación y distribución.

El edificio cuenta con ascensor y la i. T. E fav...",,,madrid,pisos.com,venta,2024-06-30,40.451817,-3.7038607,
230000.0,Piso en calle del Duque de Medinaceli,/comprar/piso-abantos_monte_carmelo_el_rosario-37558853213_527003/,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),2.0,1.0,111.0,"Se vende piso en san lorenzo del escorial , dos dormitorios , baño , plaza de garaje incluido en el precio , la vivienda dispone d...",,,madrid,pisos.com,venta,2024-06-30,40.5946918,-4.1452701,
185000.0,Apartamento en calle Serranillos del Valle,/comprar/apartamento-serranillos_del_valle_batres-39262089531_527024/,Batres (Serranillos del Valle),2.0,2.0,100.0,"Inmomafer comercializa la venta de un maravilloso piso en serranillos del valle, es muy amplio y luminoso, cuenta con:

- 100 metr...",,,madrid,pisos.com,venta,2024-06-30,40.204940505,-3.885904714,
820000.0,Piso en Centro,/comprar/piso-sol_barrio28012-40928841645_100500/,Sol (Distrito Centro. Madrid Capital),3.0,3.0,132.0,Re/max new life presenta este piso de 3 dormitorios con vistas a la calle mayor. Destaca por su excelente ubicación en el centro d...,,,madrid,pisos.com,venta,2024-06-30,40.4159346,-3.7084085,1.0
289000.0,Casa en calle de Guadalajara,/comprar/casa-cabanillas_de_la_sierra_centro_urbano-36666813812_501235/,Cabanillas de La Sierra,3.0,2.0,188.0,"""brem global inmobiliaria presenta un chalet independiente en cabanillas de la sierra, pueblo situado a poco más de 50 km de madri...",,,madrid,pisos.com,venta,2024-06-30,40.8305352,-3.6264061,
1500000.0,Piso en calle de Alfonso XII,/comprar/piso-jeronimos28014-28400154141_100500/,Jerónimos (Distrito Retiro. Madrid Capital),8.0,,281.0,"Jerónimos / exclusivo piso clásico con opción de 2 plazas de parking y trastero, a un paseo del retiro 

Urbanissimo real estate g...",,,madrid,pisos.com,venta,2024-06-30,40.4130035,-3.6890928,1.0
229500.0,"Dúplex en calle de Melquíades Biencinto, 27",/comprar/duplex-san_diego28053-4423830744_109700/,San Diego (Distrito Puente de Vallecas. Madrid Capital),2.0,2.0,80.0,"Ref. Var0000198935, bajo c. Dúplex en un inmueble de obra nueva de 80 m² de superficie construida y situado en la zona de madrid c...",,,madrid,pisos.com,venta,2024-06-30,40.3949199,-3.6705077,
179900.0,Piso en calle de Fray José de Cerdeiriña,/comprar/piso-las_aguilas28024-45012770062_100500/,Las Águilas (Distrito Latina. Madrid Capital),2.0,1.0,65.0,Gespain parque europa vende piso en parque europa junto a estación de metro de aviación española (línea 10) y muy próximo a la ren...,,,madrid,pisos.com,venta,2024-06-30,40.3841325,-3.7804349,2.0
409000.0,Piso en calle del Capitán Blanco Argibay,/comprar/piso-valdeacederas28029-45025478605_100500/,Valdeacederas (Distrito Tetuán. Madrid Capital),3.0,,96.0,"Vohome propiedades barajas vende en exclusiva espectacular vivienda en el distrito de tetuán.

La vivienda se encuentra en la terc...",,,madrid,pisos.com,venta,2024-06-30,40.4671351,-3.7046958,3.0
383000.0,"Piso en calle de Antonio López, 191",/comprar/piso-almendrales28026-4276193132_109700/,Almendrales (Distrito Usera. Madrid Capital),2.0,2.0,84.0,"V43, portal 5, bajo b. Piso en un edificio de obra nueva de 84 m² de superficie construida y ubicado en la zona de madrid capital,...",,,madrid,pisos.com,venta,2024-06-30,40.385194522,-3.695951069,
178000.0,Ático en Paseo Músicos,/comprar/atico-daganzo_de_arriba_centro_urbano-5888600372_100500/,Daganzo de Arriba,2.0,1.0,69.0,"Bonito ático con 69m² construidos, 2 dormitorios, terraza, 1 baño, ascensor, plaza de garaje y trastero. 

La vivienda cuenta con ...",,,madrid,pisos.com,venta,2024-06-30,40.5436271,-3.4586423,
140000.0,Piso en calle de José María del Boto,/comprar/piso-puerta_del_angel-36675979574_100500/,Puerta del Ángel (Distrito Latina. Madrid Capital),1.0,1.0,47.0,"!!! Gespain parque europa ofrece piso en venta en calle josé mª del boto.

Vivienda seminueva exterior, de aproximadamente 40 m² ú...",,,madrid,pisos.com,venta,2024-06-30,40.4052733,-3.7377747,
320000.0,Piso en calle de Griñón,/comprar/piso-getafe_distrito_centro28902-40927655732_101800/,Centro (Getafe),3.0,2.0,128.0,"¡Sin comisiones! Bajo de 3 dormitorios y 2 cuartos de baño completos, con patio. Cuarto trastero incluido en el precio. Pocas vivi...",,,madrid,pisos.com,venta,2024-06-30,40.3110514,-3.7317657,
