precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
186.000 €;Piso en Puente de Vallecas;/comprar/piso-numancia28038-35921924167_101000/;Numancia (Distrito Puente de Vallecas. Madrid Capital);3 habs.;1 baño;83 m²;;Alfa inmobiliaria pone a su disposición una vivienda de 83m² construidos, 75m² útiles en la mejor zona de puente de vallecas. Un p...;40.401586;-3.6652843
238.900 €;Piso en calle de Berruguete;/comprar/piso-berruguete28039-33402999186_108900/;Berruguete (Distrito Tetuán. Madrid Capital);3 habs.;1 baño;73 m²;;"&nbsp;

Don chamber&iacute; inmobiliaria presenta en exclusiva este encantador piso en venta en el vibrante barrio de berruguete.
...";40.45901;-3.7048
779.000 €;Piso en calle de la Costa Brava, 34;/comprar/piso-mirasierra_arroyo_del_fresno28034-37555088282_108500/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;2 baños;146 m²;;Fives real estate presenta una excepcional oportunidad en la prestigiosa zona de mirasierra, madrid. Este luminoso y espacioso pis...;40.497312527718;-3.7142229440118
830.000 €;Piso en calle de Antonio Pérez, 24;/comprar/piso-chamartin_el_viso28002-3567148190_109700/;El Viso (Distrito Chamartín. Madrid Capital);1 hab.;1 baño;73 m²;4ª planta;Vivienda 6. Plantas 1-4. Tipo 06. Piso en un edificio de obra nueva de 73 m2 de superficie construida y ubicado en la zona de Madrid Capital, enclavado en planta 4. Está distribuido en 1 habitación, 1 baño completo y terraza. Incluye extras como garaje.;40,4425257;-3,6814892
235.000 €;Ático en calle de José Calvo;/comprar/atico-bellas_vistas28039-37561594900_519466/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 hab.;1 baño;59 m²;;Ático de 59 m² según catastro + terraza. Distribuido en 1 habitación (amplia y con armario empotrado), 1 baño completo (con bañera...;40.4578758;-3.7082012
1.680.000 €;Ático en calle de los Mártires Concepcionistas;/comprar/atico-lista_barrio28006-39177988984_100500/;Lista (Distrito Salamanca. Madrid Capital);3 habs.;3 baños;174 m²;;"¡Ático con terraza de 41m² a reformar!

Las fotos publicadas son renders de cómo podría quedar exactamente el piso en base al proy...";40.4277094;-3.6708101
195.000 €;Piso en Justicia-Chueca;/comprar/piso-justicia_chueca28004-25080992746_501562/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;1 baño;40 m²;2ª planta;Inmueble para inversores, alquilado con contrato en vigor, rentabilidad 1,5%;40.424146;-3.7070048
2.500.000 €;Dúplex en calle de Santa Engracia;/comprar/duplex-chamberi_almagro28010-23406721431_996542/;Almagro (Distrito Chamberí. Madrid Capital);3 habs.;3 baños;238 m²;5ª planta;"Diplomatic real estate ofrece dúplex en edificio rehabilitado en 2.020 con portal de lujo.
Gran terraza comunitaria.
 Salón comedo...";40.4314071;-3.697433
525.000 €;Ático en Adelfas;/comprar/atico-adelfas28007-37502039849_527003/;Adelfas (Distrito Retiro. Madrid Capital);4 habs.;2 baños;123 m²;;"Compravendenavacerrada 

Ático, zona pacifico, se vende piso ático con terraza, 4 dormitorios, 2 baños, calefacción individual por...";40.4036512;-3.6784201
164.900 €;Piso en Berruguete;/comprar/piso-berruguete28039-39226818151_100200/;Berruguete (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;48 m²;;Inmobiliaria en tetuán, berruguete - tecnocasa risico servicios inmobiliarios sl, vende piso reformado formado por dos dormitorios...;40.4584066;-3.706865
