precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
1.080.000 €;Piso en Recoletos;/comprar/piso-recoletos28001-39181682007_108500/;Recoletos (Distrito Salamanca. Madrid Capital);3 habs.;2 baños;102 m²;Colaboramos con otras agencias. Madin inmobiliaria - interiorismo pone a la venta exclusivo piso reformado en plena milla de oro d...;40.4238449;-3.6815046;
300.000 €;Piso en calle de Ardemans;/comprar/piso-guindalera28028-34175468591_440000/;Guindalera (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;59 m²;"Venta de piso abuhardillado en séptima planta, ubicado en guindalera.

 Con una superficie aproximada de 59 m², muy luminoso. 

Se...";40.4353678;-3.6733312;7ª planta
249.900 €;Piso en Travesía del Autogiro;/comprar/piso-timon28042-39261699952_100200/;Timón (Distrito Barajas. Madrid Capital);;;128 m²;"'oficina tecnocasa - barajas - madrid vende vivienda en calle travesía autogiro, barajas.
Vivienda a reformar.
La vivienda cuenta ...";40.4718272;-3.5838598;
450.000 €;Piso en Avenida del Ferrol;/comprar/piso-pilar28034-38385624574_513149/;Pilar (Distrito Fuencarral-El Pardo. Madrid Capital);4 habs.;2 baños;120 m²;Altura piso 3º, piso superficie total 120 m², superficie útil 115 m², hab. Individuales: 1, habitaciones dobles: 3, 2 baños, adapt...;40.4735259;-3.7051333;3ª planta
365.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-3534810209_109700/;Castillejos (Distrito Tetuán. Madrid Capital);1 hab.;1 baño;41 m²;1º A. V07.2. Piso en un edificio de obra nueva de 41 m2 de superficie útil y ubicado en la zona de Madrid Capital, enclavado en planta 1. Está distribuido en 1 habitación y 1 baño completo. Incluye extras como ascensor.;40,4624735;-3,6946876;1ª planta
495.000 €;Piso en Avenida del Santuario de Valverde;/comprar/piso-fuencarral_el_pardo_el_pardo28049-40077012522_520919/;El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;4 baños;147 m²;En el barrio de montecarmelo, entre el monte de el pardo y mirasierra, tenemos disponible este espacioso piso de 147 m² construid...;40.506293378;-3.697982618;2ª planta
1.680.000 €;Piso en calle de Claudio Coello;/comprar/piso-recoletos28001-39202399346_101800/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;3 baños;142 m²;En el corazón del prestigioso barrio de recoletos, walter haus presenta con orgullo esta magnífica vivienda en pleno proceso de re...;40.4283168;-3.6859679;1ª planta
1.099.000 €;Piso en calle de San Roque;/comprar/piso-universidad_malasana28004-40872227438_109300/;Universidad-Malasaña (Distrito Centro. Madrid Capital);4 habs.;4 baños;166 m²;"Malasaña/universidad
Hoy te presentamos un increíble inmueble que no puedes dejar escapar. Estamos hablando de un espacioso y eleg...";40.4223102;-3.7049409;
390.000 €;Piso en Barrio del Pilar;/comprar/piso-berruguete28039-23359244263_100500/;Berruguete (Distrito Tetuán. Madrid Capital);3 habs.;2 baños;115 m²;Cavalier vende. Luminoso piso dúplex de 115m² con 3 dormitorios y 3 baños. Situado en zona de fácil aparcamiento, cerca de estació...;40.4609713;-3.7068173;2ª planta
325.000 €;Piso en Plaza de los Mostenses, 2;/comprar/piso-universidad_malasana28015-35015846895_108700/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 habs.;1 baño;64 m²;"Te presento un piso muy especial en una ubicación excepcional.
Tanto si quieres vivir como si buscas invertir, esta es una oportun...";40.4236236;-3.7093995;
