OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,stop_name,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,stop_id,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
,,,,,,Berna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_22_812,22.0,Calle  Plutón 1,40.44476,-3.79116,,http://www.crtm.es,2.0,est_10_22,,0.0
,,,,,,CAMPUS DE SOMOSAGUAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_20,20.0,Avda del Cerro SN,40.43338,-3.79525,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,CANTABRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_32,32.0,Avda de Cantabria 3,40.39529,-3.86439,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
10.0,13713.0,5_18,20170530.0,5.0,18.0,CHAMARTIN,Complejo Ferroviario,I,18.0,17000.0,,90.0,25.0,U,28.0,79.0,7901.0,790101.0,00073,Calle,de,Agustín de Foxá,N,40,,,28036.0,5.0,94.0,56.0,T0791996,790101150.0,1.0,1.0,A,1.0,079-05-086,86.0,11.0,559-2,2.0,3.0,20030331.0,19860101.0,,442257.0,4480589.0,T,,,,,,,,,,,,,,,
13.0,13713.0,5_18,20170530.0,5.0,18.0,CHAMARTIN,Complejo Ferroviario,I,18.0,17000.0,,90.0,25.0,U,28.0,79.0,7901.0,790101.0,00073,Calle,de,Agustín de Foxá,N,40,,,28036.0,5.0,94.0,56.0,T0791996,790101150.0,1.0,1.0,A,1.0,079-05-086,86.0,11.0,559-2,2.0,3.0,20030331.0,19860101.0,,442257.0,4480589.0,T,,,,,,,,,,,,,,,
,,,,,,CIUDAD DE LA IMAGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_25,25.0,Calle   Juan de Orduña 4,40.39709,-3.78399,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,CIUDAD DEL CINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_27,27.0,Calle   José Isbert 20,40.39455,-3.79557,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,COCHERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_39,39.0,Ctra de Boadilla del Monte 90,40.39688,-3.80386,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,COLONIA DE LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_12,12.0,Ctra   M-502 (Carabanchel) 1900,40.40721,-3.7844,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,COLONIA JARDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_10,10.0,Calle de Arenas de San Pedro 2,40.39698,-3.77456,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,COLONIA JARDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_10,10.0,Calle de Arenas de San Pedro 2,40.39698,-3.77456,A,http://www.crtm.es,1.0,,Europe/Madrid,2.0
,,,,,,COLONIA JARDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_24,24.0,Calle de Arenas de San Pedro 2,40.39698,-3.77451,A,http://www.crtm.es,0.0,est_10_10,,2.0
15.0,11739.0,5_22,20170530.0,5.0,22.0,COSLADA,Con Trva de León Felipe,I,22.0,70108.0,,92.0,87.0,U,28.0,49.0,4901.0,490101.0,A0172,Calle,de,Luis Braille,N,8,,,28821.0,1.0,13.0,,T049291,490101010.0,8.0,2.0,B1,3.0,049-005,898.0,14.0,559-2,2.0,3.0,20030331.0,19860101.0,,452508.0,4475148.0,P,,,,,,,,,,,,,,,
,,,,,,Camino Fuente de la Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_2_725,2.0,Calle de Dulce Chacón 15,40.48461,-3.66308,,http://www.crtm.es,2.0,est_10_2,,0.0
,,,,,,Catalina de Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_7_731,7.0,Calle de María Tudor 15,40.49779,-3.6582,,http://www.crtm.es,2.0,est_10_7,,0.0
